model,day,hour,pv_kw,temp_outdoor,n_home,battery_soc,ev_soc,cumulative_import_kwh,cumulative_export_kwh,step_bill_vnd,total_bill_vnd,comfort_score,wm_remaining,dw_remaining,action_battery,action_ac_living,action_ac_master,action_ac_bed2,action_ev,action_wm,action_dw,reward,temp_living,temp_master,temp_bed2
Hybrid,6,17,0.0,32.33012701892219,0,0.1,0.3440396189689636,0.09615325927734375,30.00310492515564,70.38148498535156,190.76806640625,80.43898010253906,0,0,-1.0,0.02898751199245453,0.5343398451805115,0.4114643335342407,-1.0,-1.0,-1.0,-1.1390904598236085,23.561296463012695,21.08779525756836,23.308561325073242
Hybrid,6,18,0.0,31.535533905932738,2,0.1,0.3440396189689636,0.7685031890869141,30.00310492515564,1333.9422607421875,1524.7103271484375,54.630401611328125,0,0,-1.0,1.0,-0.3035334348678589,1.0,-1.0,-1.0,-1.0,-2.2670252752304076,22.358720779418945,21.43610191345215,22.131258010864258
Hybrid,6,19,0.0,30.5,2,0.1,0.3440396189689636,1.7255735397338867,30.00310492515564,1898.8275756835938,3423.5379028320312,42.19622802734375,0,0,-1.0,1.0,0.07609374076128006,1.0,-1.0,-1.0,-1.0,-5.575781952857971,21.172847747802734,21.26639747619629,20.96813201904297
Hybrid,6,20,0.0,29.294095225512606,2,0.1,0.3440396189689636,3.055779457092285,30.00310492515564,2639.1285400390625,6062.666442871094,40.0,0,0,-1.0,1.0,0.5736075639724731,1.0,-1.0,-1.0,-1.0,-11.814921545028687,19.98497200012207,20.495559692382812,19.80072784423828
Hybrid,6,21,0.0,28.0,2,0.1,0.3440396189689636,3.055779457092285,30.808069944381714,0.0,6062.666442871094,40.0,0,0,-1.0,-1.0,0.7354400157928467,0.4869099259376526,-1.0,-1.0,-1.0,-6.44515597820282,20.786474227905273,19.51056480407715,19.133745193481445
Hybrid,6,22,0.0,26.705904774487397,2,0.1,0.3440396189689636,3.055779457092285,32.603044867515564,0.0,6062.666442871094,40.0,0,0,-1.0,-0.09028132259845734,-1.0,-0.7093871235847473,-1.0,-1.0,-1.0,-20.94716775417328,20.468698501586914,20.230098724365234,19.6003475189209
Hybrid,6,23,0.0,25.5,2,0.1,0.3440396189689636,3.055779457092285,35.45304477214813,0.0,6062.666442871094,40.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4730165898799896,-0.27497485280036926,-426.04888808727264,20.97182846069336,20.757089614868164,20.1903133392334
Hybrid,7,0,0.0,24.464466094067262,2,0.18421050906181335,0.2582470774650574,0.0,2.8499999046325684,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-2.941762685775757,24.946447372436523,24.946447372436523,24.946447372436523
Hybrid,7,1,0.0,23.669872981077805,2,0.1,0.2582470774650574,0.0,5.699999809265137,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.432056427001953,24.818790435791016,24.818790435791016,24.818790435791016
Hybrid,7,2,0.0,23.17037086855466,2,0.1,0.2582470774650574,0.0,8.549999713897705,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-4.118467807769775,24.653947830200195,24.653947830200195,24.653947830200195
Hybrid,7,3,0.0,23.0,2,0.1,0.2582470774650574,0.0,11.399999618530273,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-5.14808464050293,24.48855209350586,24.48855209350586,24.48855209350586
Hybrid,7,4,0.0,23.17037086855466,2,0.1,0.2582470774650574,0.0,14.249999523162842,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-6.864112854003906,24.356733322143555,24.356733322143555,24.356733322143555
Hybrid,7,5,0.0,23.66987298107781,2,0.1,0.2582470774650574,0.0,17.09999942779541,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-10.29616928100586,24.288047790527344,24.288047790527344,24.288047790527344
Hybrid,7,6,0.0,24.464466094067262,2,0.1,0.2582470774650574,0.0,19.94999933242798,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-20.59233856201172,24.305688858032227,24.305688858032227,24.305688858032227
Hybrid,7,7,0.0,25.5,2,0.1,0.2582470774650574,0.0,22.799999237060547,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9111615419387817,-0.8580141067504883,24.425119400024414,24.425119400024414,24.425119400024414
Hybrid,7,8,0.0,26.705904774487397,0,0.1,0.2582470774650574,0.0,25.649999141693115,0.0,0.0,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8953191041946411,24.6531982421875,24.6531982421875,24.6531982421875
Hybrid,7,9,0.0,28.0,0,0.1,0.2582470774650574,0.0,27.840851306915283,0.0,0.0,100.0,0,0,-1.0,-1.0,-0.1211361214518547,-1.0,-1.0,-1.0,-1.0,-0.9360154271125793,24.987878799438477,24.1090145111084,24.987878799438477
Hybrid,7,10,0.0,29.294095225512603,0,0.1,0.2582470774650574,0.0,29.72132980823517,0.0,0.0,100.0,0,0,-1.0,-1.0,0.11582649499177933,-0.7346966862678528,-1.0,-1.0,-1.0,-0.9805876016616821,25.418500900268555,23.51169776916504,25.1531982421875
