model,day,hour,pv_kw,temp_outdoor,n_home,battery_soc,ev_soc,cumulative_import_kwh,cumulative_export_kwh,step_bill_vnd,total_bill_vnd,comfort_score,wm_remaining,dw_remaining,action_battery,action_ac_living,action_ac_master,action_ac_bed2,action_ev,action_wm,action_dw,reward,temp_living,temp_master,temp_bed2
PPO,2,12,0.0,31.535533905932738,0,0.1,1.0,12.916351556777954,20.505895256996155,0.0,25626.04148864746,100.0,0,0,-1.0,-0.7359370589256287,-1.0,-1.0,-1.0,-0.002442645840346813,-0.49310436844825745,-0.0,26.114944458007812,26.487539291381836,26.487539291381836
PPO,2,13,0.0,32.33012701892219,0,0.1,1.0,12.916351556777954,23.057599663734436,0.0,25626.04148864746,79.31690216064453,0,0,-1.0,-0.7051934003829956,-1.0,-0.9930220246315002,-1.0,-0.01700275018811226,-0.521431028842926,-0.0,26.4416561126709,27.07179832458496,27.064821243286133
PPO,2,14,0.0,32.829629131445344,0,0.1,1.0,12.916351556777954,25.58704125881195,0.0,25626.04148864746,74.07243347167969,0,0,-1.0,-0.7311269044876099,-1.0,-0.896629273891449,-1.0,-0.003956126980483532,-0.5303154587745667,-0.0,26.811580657958984,27.647581100463867,27.537931442260742
PPO,2,15,0.0,33.0,0,0.1,1.0,12.916351556777954,28.128790974617004,0.0,25626.04148864746,58.43235397338867,0,0,-1.0,-0.7673521041870117,-1.0,-0.8487951159477234,-1.0,0.02514619752764702,-0.5176881551742554,-0.0,27.197772979736328,28.182823181152344,27.932933807373047
PPO,2,16,0.0,32.829629131445344,0,0.1,1.0,12.916351556777954,30.727880835533142,0.0,25626.04148864746,52.49967575073242,0,0,-1.0,-0.8291792273521423,-1.0,-0.839821457862854,-1.0,0.07302208244800568,-0.4850735664367676,-0.0,27.590137481689453,28.647502899169922,28.26242446899414
PPO,2,17,0.0,32.33012701892219,0,0.1,1.0,12.916351556777954,33.44234263896942,0.0,25626.04148864746,47.318336486816406,0,0,-1.0,-0.9259220957756042,-1.0,-0.8770796656608582,-1.0,0.14653533697128296,-0.4271255135536194,-0.0,27.99005889892578,29.015766143798828,28.546274185180664
PPO,2,18,0.0,31.535533905932738,2,0.1,1.0,12.916351556777954,36.29234254360199,0.0,25626.04148864746,44.05097198486328,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35735654830932617,-0.14584767818450928,-3.8079663515090942,28.344606399536133,29.267742156982422,28.845199584960938
PPO,2,19,0.0,30.5,2,0.1,1.0,12.916351556777954,39.14234244823456,0.0,25626.04148864746,42.19926452636719,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5688433647155762,0.010334588587284088,-4.434056520462036,28.56014633178711,29.390968322753906,29.010679244995117
PPO,2,20,0.0,29.294095225512606,2,0.1,1.0,12.916351556777954,41.99234235286713,0.0,25626.04148864746,41.83229064941406,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9279917478561401,0.2777305543422699,-4.668456554412842,28.633541107177734,29.38128089904785,29.039020538330078
PPO,2,21,0.0,28.0,2,0.1,1.0,12.916351556777954,44.842342257499695,0.0,25626.04148864746,42.473472595214844,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.6347059011459351,-4.4654860496521,28.570186614990234,29.243152618408203,28.935117721557617
