day,total_bill,total_import_kwh,total_export_kwh,total_pv_kwh,wm_completed,dw_completed,ev_target_met,avg_comfort,total_reward,final_battery_soc,final_ev_soc,model
4,6024.837417602539,3.036712408065796,36.46695017814636,0.0,True,True,False,82.06749105453491,-545.0676783239842,0.1,0.2893768548965454,Hybrid
5,6040.74137878418,3.0447285175323486,35.461276173591614,0.0,True,True,False,82.05233144760132,-535.5490352268436,0.1,0.3126159608364105,Hybrid
6,6062.666442871094,3.055779457092285,35.45304477214813,0.0,True,True,False,82.03164482116699,-522.7013831055381,0.1,0.3440396189689636,Hybrid
7,6003.94921875,3.02618408203125,37.674015522003174,0.0,True,True,False,82.08760611216228,-558.4486560790539,0.1,0.2582470774650574,Hybrid
8,6134.949005126953,3.092212200164795,36.62290370464325,0.0,True,True,False,81.96497249603271,-484.6720474922874,0.1,0.44314679503440857,Hybrid
9,6032.959686279297,3.040806293487549,36.6640841960907,0.0,True,True,False,82.05973656972249,-540.2751719966152,0.1,0.3012847602367401,Hybrid
10,6126.130920410156,3.0877676010131836,36.62680959701538,0.0,True,True,False,81.97299114863078,-488.9832393815734,0.1,0.4313963055610657,Hybrid
11,6052.153045654297,3.050480365753174,36.65704107284546,0.0,True,True,False,82.04153601328532,-528.7823342139937,0.1,0.3290506601333618,Hybrid
12,5997.526519775391,3.022946834564209,36.6760950088501,0.0,True,True,False,82.09384218851726,-562.9301288771846,0.1,0.24852778017520905,Hybrid
13,6156.676818847656,3.103163719177246,36.41302835941315,0.0,True,True,False,81.94532855351765,-474.17155071592333,0.1,0.4717530906200409,Hybrid
14,6047.721298217773,3.0482466220855713,36.65870451927185,0.0,True,True,False,82.04572216669719,-531.3901040196636,0.1,0.322687029838562,Hybrid
15,6067.819549560547,3.0583767890930176,35.45104503631592,0.0,True,True,False,82.02682971954346,-519.7843951733329,0.1,0.3513067364692688,Hybrid
16,6055.4140625,3.0521240234375,35.45581126213074,0.0,True,True,False,82.03846597671509,-526.8827314963557,0.1,0.3337101638317108,Hybrid
17,6073.106521606445,3.0610415935516357,36.648961901664734,0.0,True,True,False,82.02187474568684,-516.814391856692,0.1,0.35875844955444336,Hybrid
18,5999.502334594727,3.023942708969116,35.47545289993286,0.0,True,True,False,82.09190734227498,-561.6054505357959,0.1,0.2515451908111572,Hybrid
19,5969.61393737793,3.008877992630005,35.484567523002625,0.0,True,True,False,82.1212043762207,-582.2000121693828,0.1,0.20550036430358887,Hybrid
20,6092.391174316406,3.0707616806030273,35.44118654727936,0.0,True,True,False,82.00396696726482,-506.30424773576044,0.1,0.38557198643684387,Hybrid
21,6172.888244628906,3.111334800720215,36.60543358325958,0.0,True,True,False,81.9307812054952,-467.0533587246158,0.1,0.4927663505077362,Hybrid
22,6038.196517944336,3.0434458255767822,36.66219782829285,0.0,True,True,False,82.05475330352783,-537.0861452968337,0.1,0.3089175820350647,Hybrid
23,6152.927642822266,3.101274013519287,37.614753007888794,0.0,True,True,False,81.94870249430339,-475.9092056183815,0.1,0.46685245633125305,Hybrid
24,6042.387023925781,3.045557975769043,35.460670828819275,0.0,True,True,False,82.05077568689983,-534.5634682038047,0.1,0.3149940073490143,Hybrid
25,5970.392532348633,3.009270429611206,36.68434405326843,0.0,True,True,False,82.12043221791585,-581.6418147204139,0.1,0.20672453939914703,Hybrid
26,6093.498046875,3.071319580078125,36.440722942352295,0.0,True,True,False,82.00293604532878,-505.4812782087326,0.1,0.38711273670196533,Hybrid
27,6049.161651611328,3.0489726066589355,36.658169984817505,0.0,True,True,False,82.04436143239339,-530.5362427509048,0.1,0.3247661888599396,Hybrid
28,6053.942962646484,3.051382541656494,36.6563675403595,0.0,True,True,False,82.03983767827351,-527.7287080588558,0.1,0.3316323161125183,Hybrid
29,6022.981750488281,3.0357770919799805,35.467594265937805,0.0,True,True,False,82.06926695505778,-546.456085654042,0.1,0.2866409122943878,Hybrid
30,6025.906921386719,3.0372514724731445,35.46657454967499,0.0,True,True,False,82.06646045049031,-544.6254293706634,0.1,0.2909575402736664,Hybrid
